Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Colour,Seats,No. of Doors,New_Price,Price
Renault KWID,Coimbatore,2017,53285,Petrol,Automatic,First,22.5 kmpl,999 CC,67 bhp,Others,5,4,5.42 Lakh,4.28
Hyundai Grand,Kolkata,2013,28000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,Others,5,4,,3.25
BMW X1,Ahmedabad,2012,94000,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,White,5,4,,12.5
Maruti Ignis,Coimbatore,2019,3906,Petrol,Automatic,First,20.89 kmpl,1197 CC,81.80 bhp,Others,5,4,7.96 Lakh,7.36
Hyundai Verna,Kochi,2016,52378,Petrol,Manual,First,17.0 kmpl,1591 CC,121.3 bhp,White,5,4,13.6 Lakh,7.97
Skoda Fabia,Delhi,2009,65000,Petrol,Manual,Second,17.5 kmpl,1198 CC,70 bhp,Others,5,4,,1.4
Hyundai Verna,Kolkata,2012,38000,Diesel,Manual,First,24.8 kmpl,1396 CC,88.7 bhp,White,5,4,,4.1
Hyundai i20,Coimbatore,2013,56127,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,Black/Silver,5,4,,5.15
Maruti Swift,Kochi,2016,34204,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,White,5,4,,5.43
Mercedes-Benz GLC,Mumbai,2017,25000,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,Others,5,4,64.14 Lakh,45
Maruti Celerio,Pune,2017,20000,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,Others,5,4,,4.7
Maruti Eeco,Coimbatore,2017,28371,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,Black/Silver,7,5,4.98 Lakh,4.74
Audi Q3,Bangalore,2013,84000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,Others,5,4,,17.75
Mercedes-Benz M-Class,Mumbai,2016,52000,Diesel,Automatic,First,15.26 kmpl,2143 CC,203.2 bhp,Black/Silver,5,4,,35
Maruti Ritz,Pune,2012,23598,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,Others,5,4,,3.52
Mercedes-Benz A,Mumbai,2013,37000,Diesel,Automatic,First,20.0 kmpl,2143 CC,107.3 bhp,Black/Silver,5,4,,13
Maruti A-Star,Hyderabad,2010,68375,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,White,5,4,,2.5
Honda City,Mumbai,2013,45000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,Black/Silver,5,4,,4.55
Mahindra KUV,Kolkata,2017,43000,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,White,5,4,7.35 Lakh,4.5
Honda City,Kolkata,2010,54801,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,Others,5,4,,2.5
Honda City,Pune,2008,119000,Petrol,Manual,Second,17.7 kmpl,1497 CC,78 bhp,White,5,4,,2.25
BMW X1,Mumbai,2012,15200,Diesel,Automatic,First,15.06 kmpl,1995 CC,177 bhp,White,5,4,,13.5
Hyundai Creta,Kolkata,2015,43000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,Others,5,4,,9.25
Honda City,Mumbai,2015,32000,Petrol,Automatic,First,15.6 kmpl,1497 CC,116.3 bhp,White,5,4,,8.5
Volkswagen Ameo,Pune,2017,14800,Petrol,Manual,First,17.0 kmpl,1198 CC,73.75 bhp,White,5,4,,5.48
Hyundai Creta,Mumbai,2016,29000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,Black/Silver,5,4,,12.6
Skoda Laura,Hyderabad,2008,122397,Diesel,Manual,First,17.5 kmpl,1896 CC,106 bhp,Black/Silver,5,4,,4.4
Maruti Alto,Hyderabad,2012,92000,CNG,Manual,Second,26.83 km/kg,796 CC,38.4 bhp,Black/Silver,5,4,,2.1
Hyundai i10,Mumbai,2010,55000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,Black/Silver,5,4,,1.59
Tata Indigo,Jaipur,2008,300000,Diesel,Manual,First,17.0 kmpl,1405 CC,70 bhp,White,5,4,,1
Volkswagen Vento,Mumbai,2011,83000,Diesel,Manual,Second,20.54 kmpl,1598 CC,103.6 bhp,Others,5,4,,2.9
Maruti Swift,Delhi,2015,37857,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,Others,5,4,,4.85
Mahindra Scorpio,Bangalore,2005,90000,Diesel,Manual,First,10.5 kmpl,2179 CC,120 bhp,Black/Silver,8,5,,2.6
Mercedes-Benz CLA,Kochi,2019,13414,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,White,5,4,43.07 Lakh,30.77
Maruti Dzire,Jaipur,2017,24000,Diesel,Manual,First,28.4 kmpl,1248 CC,73.75 bhp,Black/Silver,5,4,10.48 Lakh,8.2
Toyota Corolla,Delhi,2008,89000,Petrol,Automatic,First,14.53 kmpl,1798 CC,138.1 bhp,White,5,4,,4
Maruti Dzire,Hyderabad,2017,13000,Petrol,Automatic,First,22.0 kmpl,1197 CC,81.80 bhp,White,5,4,10.34 Lakh,8.5
Volkswagen Polo,Pune,2011,36431,Petrol,Manual,First,16.2 kmpl,1199 CC,74 bhp,White,5,4,,2.7
Maruti Ertiga,Pune,2013,43486,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,Others,7,5,,6.6
Hyundai Grand,Chennai,2014,33000,Diesel,Manual,Second,24.0 kmpl,1120 CC,70 bhp,White,5,4,,4.05
Honda BR-V,Bangalore,2016,34004,Petrol,Manual,First,15.4 kmpl,1497 CC,117.3 bhp,Others,7,5,12.9 Lakh,8.02
Hyundai i20,Chennai,2009,72000,Petrol,Automatic,Third,15.0 kmpl,1396 CC,100 bhp,White,5,4,,3.25
BMW 5,Coimbatore,2016,76467,Diesel,Automatic,First,18.12 kmpl,1995 CC,190 bhp,Others,5,4,,30.45
Hyundai Verna,Hyderabad,2012,93000,Diesel,Manual,First,23.5 kmpl,1396 CC,88.7 bhp,White,5,4,,5.55
Honda Brio,Mumbai,2013,41000,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,White,5,4,,3.1
Maruti Vitara,Coimbatore,2018,28741,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,Others,5,4,12.56 Lakh,11
Hyundai Xcent,Hyderabad,2016,106092,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,Black/Silver,5,4,,4.4
Renault Duster,Delhi,2013,66314,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,White,5,4,,5.5
Mahindra XUV500,Bangalore,2014,65213,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,Black/Silver,7,5,,9.45
Hyundai Creta,Mumbai,2016,28000,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,Black/Silver,5,4,,11.85
Maruti Alto,Jaipur,2010,125000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,Others,5,4,,0.92
Hyundai Verna,Pune,2014,34200,Petrol,Automatic,First,15.74 kmpl,1591 CC,121.3 bhp,Others,5,4,,6.5
Toyota Etios,Chennai,2015,53713,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,Others,5,4,,4.2
Tata Safari,Delhi,2014,80000,Diesel,Manual,First,14.0 kmpl,2179 CC,138.1 bhp,Others,7,5,,6
Toyota Corolla,Mumbai,2012,54000,Petrol,Automatic,First,14.53 kmpl,1794 CC,138.1 bhp,Black/Silver,5,4,,7.5
Nissan Sunny,Chennai,2012,70000,Diesel,Manual,Second,22.71 kmpl,1461 CC,84.8 bhp,Black/Silver,5,4,11.48 Lakh,4
Honda Amaze,Kochi,2015,62550,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,Black/Silver,5,4,,5.6
Maruti Wagon,Delhi,2012,45631,Petrol,Manual,Second,22.5 kmpl,998 CC,67.04 bhp,White,5,4,4.59 Lakh,2.74
Mercedes-Benz GLA,Hyderabad,2014,30000,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,White,5,4,,26
Honda BRV,Pune,2016,9200,Petrol,Manual,First,15.4 kmpl,1497 CC,117.3 bhp,White,7,5,13.58 Lakh,8
Hyundai i20,Delhi,2013,64500,Diesel,Manual,First,21.9 kmpl,1396 CC,88.8 bhp,White,5,4,,3.65
Maruti Swift,Pune,2015,13769,Petrol,Manual,Second,16.1 kmpl,1197 CC,85 bhp,Others,5,4,,4.41
Toyota Fortuner,Jaipur,2014,122000,Diesel,Manual,Second,12.55 kmpl,2982 CC,168.5 bhp,Black/Silver,7,5,,16
Hyundai Verna,Hyderabad,2011,70000,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,Others,5,4,,5.1
Maruti Wagon,Hyderabad,2014,55277,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,Others,5,4,,3.9
Hyundai i20,Chennai,2010,95000,Petrol,Manual,Second,18.5 kmpl,1197 CC,80 bhp,Black/Silver,5,4,,2.8
Toyota Fortuner,Chennai,2012,97000,Diesel,Automatic,First,11.5 kmpl,2982 CC,169 bhp,White,7,5,,16.75
Maruti Ertiga,Pune,2012,105000,Diesel,Manual,Second,20.77 kmpl,1248 CC,88.76 bhp,White,7,5,,5.9
Mercedes-Benz E-Class,Hyderabad,2009,85000,Diesel,Automatic,First,11.0 kmpl,2987 CC,198.5 bhp,Others,5,4,,9.99
Skoda Superb,Delhi,2013,80000,Petrol,Automatic,Second,14.67 kmpl,1798 CC,177.46 bhp,Others,5,4,32.54 Lakh,7.25
Maruti Ertiga,Bangalore,2015,74000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,White,7,5,,8.75
Skoda Superb,Delhi,2014,51000,Diesel,Automatic,First,17.2 kmpl,1968 CC,138.03 bhp,Others,5,4,,13
BMW 5,Ahmedabad,2013,55000,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,Others,5,4,63.71 Lakh,21.75
Maruti Swift,Kolkata,2014,35010,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,White,5,4,,3.5
Audi A3,Chennai,2014,79271,Diesel,Automatic,First,20.38 kmpl,1968 CC,143 bhp,Others,5,4,,16.5
Maruti Swift,Hyderabad,2014,85512,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,Black/Silver,5,4,,5.8
Maruti Ciaz,Kochi,2015,50979,Petrol,Automatic,First,19.12 kmpl,1373 CC,91.1 bhp,Others,5,4,,6.9
Tata Nano,Coimbatore,2016,24941,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,White,4,4,,3.19
Honda Accord,Bangalore,2010,83000,Petrol,Automatic,Second,11.1 kmpl,2354 CC,142 bhp,White,5,4,,6.5
Maruti Alto,Pune,2014,32000,Petrol,Manual,Second,22.74 kmpl,796 CC,47.3 bhp,White,5,4,,2.1
Mahindra Xylo,Hyderabad,2015,129750,Diesel,Manual,Second,14.95 kmpl,2489 CC,93.7 bhp,Black/Silver,7,5,,6.8
Ford Figo,Jaipur,2010,66123,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,White,5,4,,2.1
Hyundai Creta,Kochi,2017,17702,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,Black/Silver,5,4,,11.94
Hyundai i20,Jaipur,2011,82000,Petrol,Manual,Second,18.5 kmpl,1197 CC,80 bhp,White,5,4,,2.7
Honda City,Pune,2012,69000,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,Black/Silver,5,4,,4.9
Hyundai EON,Kolkata,2015,20800,Petrol,Manual,Second,21.1 kmpl,814 CC,55.2 bhp,White,5,4,,2.25
Maruti Celerio,Pune,2016,36789,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,White,5,4,,4.25
Maruti Vitara,Kolkata,2017,35000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,Others,5,4,9.46 Lakh,6.5
Hyundai Creta,Chennai,2015,41000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,Black/Silver,5,4,,11.9
Mercedes-Benz E-Class,Chennai,2007,75000,Diesel,Automatic,First,11.0 kmpl,2987 CC,198.5 bhp,Black/Silver,5,4,,11
Hyundai Getz,Pune,2005,86000,Petrol,Manual,Second,15.3 kmpl,1341 CC,83 bhp,White,5,4,,0.45
Hyundai Verna,Delhi,2012,62000,Diesel,Manual,,22.32 kmpl,1582 CC,126.32 bhp,White,5,4,,4.6
Maruti Swift,Kolkata,2012,82000,Diesel,Manual,Second,22.9 kmpl,1248 CC,74 bhp,Others,5,4,,2.5
Toyota Corolla,Kolkata,2008,80000,Petrol,Automatic,First,11.3 kmpl,1794 CC,125 bhp,White,5,4,,2.8
Hyundai Verna,Hyderabad,2008,96578,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,White,5,4,14.07 Lakh,2.5
Ford Figo,Hyderabad,2013,71336,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,Others,5,4,,4.1
Toyota Etios,Delhi,2013,64000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.06 bhp,White,5,4,,3.1
Hyundai Creta,Delhi,2016,42784,Diesel,Manual,First,21.38 kmpl,1396 CC,88.7 bhp,White,5,4,,10.17
Skoda Rapid,Chennai,2013,83000,Diesel,Manual,First,21.14 kmpl,1498 CC,103.52 bhp,White,5,4,,4.75
Maruti Alto,Coimbatore,2011,48624,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,Others,5,4,4.7 Lakh,3.22
Jaguar XE,Mumbai,2017,9000,Petrol,Automatic,First,13.5 kmpl,1999 CC,246.74 bhp,Others,5,4,53.72 Lakh,34.5
BMW X3,Bangalore,2016,45165,Diesel,Automatic,First,16.09 kmpl,1995 CC,184 bhp,Black/Silver,5,4,,41.75
Maruti Ertiga,Ahmedabad,2012,25000,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,White,7,5,,5.35
Maruti S,Hyderabad,2015,61313,Diesel,Manual,First,23.65 kmpl,1248 CC,88.5 bhp,Others,5,4,,7.99
Hyundai EON,Hyderabad,2016,30000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,Others,5,4,,3.25
Honda City,Mumbai,2015,27030,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,White,5,4,,6.75
Hyundai i10,Chennai,2010,77000,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,Others,5,4,,2.1
Audi A4,Delhi,2011,58000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,White,5,4,,11
Honda Jazz,Mumbai,2015,12000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,Others,5,4,,6
Toyota Fortuner,Mumbai,2010,41650,Diesel,Manual,Second,11.5 kmpl,2982 CC,171 bhp,Others,7,5,,10.99
Hyundai i20,Bangalore,2012,58000,Petrol,Automatic,Second,15.0 kmpl,1396 CC,98.6 bhp,Black/Silver,5,4,,4.4
Land Rover Discovery,Delhi,2016,77000,Diesel,Automatic,First,12.63 kmpl,2179 CC,147.5 bhp,Black/Silver,5,4,,35
Mercedes-Benz CLA,Ahmedabad,2015,13500,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,Black/Silver,5,4,,25.51
Mahindra Scorpio,Hyderabad,2015,120000,Diesel,Manual,First,15.4 kmpl,2179 CC,120 bhp,White,7,5,,12
Ford Endeavour,Chennai,2019,9000,Diesel,Automatic,First,12.62 kmpl,2198 CC,158 bhp,White,7,5,,32.9
Hyundai Accent,Hyderabad,2008,62364,Petrol,Manual,First,13.2 kmpl,1495 CC,94 bhp,White,5,4,,2.3
Honda City,Pune,2009,60000,Petrol,Manual,Third,17.0 kmpl,,,,5,4,,3.25
Hyundai i10,Delhi,2012,59000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,Others,5,4,,2.85
Maruti Wagon,Ahmedabad,2010,21002,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,White,5,4,4.74 Lakh,2.75
Maruti Zen,Chennai,2004,29000,Petrol,Manual,First,17.3 kmpl,993 CC,60 bhp,Black/Silver,5,4,,1.6
Honda Amaze,Mumbai,2014,21000,Petrol,Manual,First,19.5 kmpl,1199 CC,86.76 bhp,Black/Silver,5,4,8.99 Lakh,4.75
Maruti Ritz,Pune,2010,71000,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,Black/Silver,5,4,,3
Volkswagen Jetta,Ahmedabad,2013,68008,Diesel,Manual,Second,15.0 kmpl,1896 CC,105 bhp,Others,5,4,,6.75
Chevrolet Sail,Kolkata,2014,14000,Petrol,Manual,First,18.2 kmpl,1199 CC,82.5 bhp,Black/Silver,5,4,,3
Hyundai Elantra,Mumbai,2014,55619,Petrol,Manual,First,16.3 kmpl,,,,5,4,,8.3
Hyundai Xcent,Kolkata,2014,42000,Petrol,Manual,First,19.1 kmpl,1197 CC,81.86 bhp,White,5,4,,3.45
Toyota Fortuner,Delhi,2014,89540,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,Black/Silver,7,5,,16.8
BMW 3,Kolkata,2013,21983,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,Black/Silver,5,4,,16.5
Maruti Swift,Bangalore,2008,100000,Diesel,Manual,Second,17.8 kmpl,1248 CC,75 bhp,Black/Silver,5,4,,3
Maruti Swift,Kochi,2019,20667,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,White,5,4,,6.37
Maruti Swift,Kochi,2017,31696,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,Others,5,4,,5.75
Volkswagen Jetta,Hyderabad,2014,42939,Diesel,Automatic,First,16.96 kmpl,1968 CC,138.03 bhp,Others,5,4,,12.49
Maruti Swift,Hyderabad,2016,54631,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,Black/Silver,5,4,,6.25
Toyota Etios,Mumbai,2011,74000,Diesel,Manual,First,23.59 kmpl,1364 CC,null bhp,Others,5,4,,3.6
Maruti Alto,Hyderabad,2017,25058,Petrol,Automatic,First,24.07 kmpl,998 CC,67.1 bhp,Others,5,4,,3.95
Hyundai i20,Kochi,2016,61823,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,Others,5,4,,6.14
Honda City,Coimbatore,2017,45366,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,Black/Silver,5,4,,10.88
Maruti Swift,Ahmedabad,2012,56121,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,White,5,4,,4.25
Mahindra Ssangyong,,2013,,Diesel,Automatic,Second,11.18 kmpl,2696 CC,184 bhp,Others,7,5,,12.5
Tata Indigo,Delhi,2015,150000,Diesel,Manual,First,25.0 kmpl,1396 CC,69.01 bhp,Black/Silver,5,4,,2.5
Maruti Swift,Hyderabad,2009,71346,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,Others,5,4,,3.8
BMW 3,Mumbai,2008,66000,Diesel,Automatic,Second,16.07 kmpl,1995 CC,181 bhp,Black/Silver,5,4,,7.25
Maruti Wagon,Coimbatore,2015,43053,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,Others,5,4,,4.65
Mahindra TUV,Pune,2016,67000,Diesel,Manual,First,18.49 kmpl,1493 CC,100 bhp,White,7,5,,6.3
Mahindra Bolero,Chennai,2011,99000,Diesel,Manual,Second,13.6 kmpl,2523 CC,63 bhp,White,7,5,,4.5
Maruti Vitara,Kochi,2018,51921,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,White,5,4,,8.62
Maruti Ertiga,Hyderabad,2016,42000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,White,7,5,13.33 Lakh,9.9
Mahindra KUV,Kochi,2017,60357,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,Black/Silver,6,4,,4.49
Volkswagen Polo,Kolkata,2011,55476,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,Black/Silver,5,4,,2.49
Hyundai Getz,Jaipur,2009,97359,Diesel,Manual,Second,17.1 kmpl,1493 CC,110 bhp,White,5,4,,1.8
Maruti Grand,Mumbai,2017,25000,Petrol,Manual,First,10.4 kmpl,2393 CC,163.5 bhp,Others,5,4,,9
Maruti SX4,Delhi,2014,90000,Diesel,Manual,First,21.5 kmpl,1248 CC,88.8 bhp,Black/Silver,5,4,,4.5
Hyundai Verna,Jaipur,2014,97000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,Others,5,4,,8
Honda City,Hyderabad,2008,56000,Petrol,Automatic,First,16.4 kmpl,1497 CC,78 bhp,Others,5,4,,2.99
Volkswagen Vento,Kochi,2013,47910,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,Others,5,4,,4.89
Honda CR-V,Hyderabad,2010,67758,Petrol,Manual,First,10.8 kmpl,2354 CC,null bhp,White,5,4,,9.5
Maruti Swift,Jaipur,2010,130000,Diesel,Manual,Second,19.3 kmpl,1248 CC,73.9 bhp,Black/Silver,5,4,,4
Honda Brio,Mumbai,2014,36631,Petrol,Automatic,First,16.5 kmpl,1198 CC,86.8 bhp,White,5,4,,4.3
BMW Z4,Delhi,2011,25000,Petrol,Automatic,First,10.37 kmpl,2979 CC,306 bhp,Black/Silver,2,2,,30
Maruti Swift,Mumbai,2012,15000,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,White,5,4,,3.65
Hyundai i20,Mumbai,2012,50000,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,Black/Silver,5,4,,3.7
Toyota Fortuner,Chennai,2015,99000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,Black/Silver,7,5,,20.5
Maruti Wagon,Kolkata,2016,16956,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,White,5,4,5.29 Lakh,3.6
Toyota Fortuner,Delhi,2013,123000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,White,7,5,,16.5
Maruti Swift,Jaipur,2011,110000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,Others,5,4,,3.5
Ford Ecosport,Jaipur,2013,92250,Diesel,Manual,Second,22.7 kmpl,1498 CC,89.84 bhp,White,5,4,,5.75
Hyundai Santa,Coimbatore,2016,45794,Diesel,Automatic,First,13.01 kmpl,2199 CC,194.3 bhp,Black/Silver,7,5,,20.67
Maruti Ertiga,Hyderabad,2013,120000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,Others,7,5,,7
Maruti Alto,Pune,2015,73204,Petrol,Automatic,First,24.07 kmpl,998 CC,67.1 bhp,Others,5,4,,3.3
Maruti Swift,Hyderabad,2012,80799,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,White,5,4,,4.9
Maruti Omni,Hyderabad,2017,24571,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,Others,5,4,,2.9
Hyundai Verna,Delhi,2015,57000,Diesel,Manual,First,23.9 kmpl,1582 CC,126.2 bhp,Black/Silver,5,4,,6.6
BMW 5,Delhi,2013,76000,Diesel,Automatic,First,18.48 kmpl,1995 CC,177 bhp,White,5,4,,19
Chevrolet Beat,Delhi,2011,76155,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,Black/Silver,5,4,,1.95
Maruti Wagon,Delhi,2012,68347,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,Black/Silver,5,4,,2.6
Hyundai Verna,Pune,2011,49768,Petrol,Manual,Second,17.01 kmpl,1591 CC,121.3 bhp,Others,5,4,,4.95
Tata Safari,Jaipur,2017,28000,Diesel,Manual,First,14.0 kmpl,2179 CC,138.1 bhp,Others,7,5,,10.91
Tata Tiago,Coimbatore,2019,16698,Petrol,Manual,First,23.84 kmpl,1199 CC,84 bhp,Others,5,4,6.21 Lakh,5.85
Mahindra XUV500,Coimbatore,2015,36836,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,White,7,5,,12.49
Land Rover Discovery,Pune,2012,117236,Diesel,Automatic,Second,11.8 kmpl,2720 CC,190 bhp,White,7,5,,14
Hyundai i20,Bangalore,2014,29000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,Others,5,4,,8.35
Honda City,Mumbai,2015,73070,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,White,5,4,,5.9
Renault Duster,Hyderabad,2013,60000,Diesel,Manual,First,19.64 kmpl,1461 CC,108.45 bhp,White,5,4,,7.5
Maruti Swift,Hyderabad,2010,86000,Diesel,Manual,Second,17.8 kmpl,1248 CC,75 bhp,White,5,4,,3.6
Hyundai Verna,Kochi,2016,42876,Diesel,Automatic,First,19.08 kmpl,1582 CC,126.2 bhp,Black/Silver,5,4,,9.31
Skoda Rapid,Mumbai,2014,32000,Petrol,Automatic,First,14.3 kmpl,1598 CC,103.5 bhp,Black/Silver,5,4,,5.55
Hyundai Xcent,Mumbai,2016,50000,Diesel,Manual,First,25.4 kmpl,1186 CC,73.97 bhp,Others,5,4,8.84 Lakh,3.5
Maruti Swift,Kochi,2016,38143,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,Others,5,4,,5.22
Ford Figo,Coimbatore,2017,39419,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,White,5,4,,4.95
Hyundai Elite,Mumbai,2015,28133,Petrol,Manual,First,18.6 kmpl,1197 CC,81.86 bhp,Others,5,4,,5.6
Hyundai i10,Coimbatore,2012,47324,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,White,5,4,,4.52
Renault Duster,Delhi,2014,90000,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,White,5,4,,5.35
Volkswagen CrossPolo,Hyderabad,2015,80768,Diesel,Manual,First,20.14 kmpl,1498 CC,88.73 bhp,White,5,4,,5.7
Volkswagen Polo,Mumbai,2015,31978,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,White,5,4,,3.89
Hyundai i20,Ahmedabad,2014,64000,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,White,5,4,,4.25
Mercedes-Benz GL-Class,Delhi,2014,85000,Diesel,Automatic,First,11.3 kmpl,2987 CC,254.8 bhp,White,7,5,,38.75
Maruti Alto,Mumbai,2018,11000,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,White,5,4,,3.35
Mercedes-Benz M-Class,Pune,2015,69000,Diesel,Automatic,First,0.0 kmpl,2987 CC,165 bhp,Others,5,4,,38
Ford Figo,Chennai,2011,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,White,5,4,,2.9
Hyundai EON,Jaipur,2017,52000,Petrol,Manual,Second,21.1 kmpl,814 CC,55.2 bhp,Others,5,4,,3.5
Toyota Etios,Chennai,2012,150000,Diesel,Manual,Third,23.59 kmpl,1364 CC,null bhp,Others,5,4,,3
Honda CR-V,Kochi,2011,55987,Petrol,Automatic,First,13.7 kmpl,1997 CC,153.86 bhp,Others,5,4,,8.22
Maruti Celerio,Kolkata,2018,30000,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,Others,5,4,4.87 Lakh,3.75
Chevrolet Beat,Hyderabad,2011,47000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,Others,5,4,,2.5
Maruti Alto,Hyderabad,2004,81500,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,White,5,4,,1.3
Hyundai Xcent,Delhi,2016,36676,CNG,Manual,First,25.0 km/kg,1197 CC,81.86 bhp,Black/Silver,5,4,,5
